,title,link,description,is_full_link,is_pdf,haystack
43,electricity,https://rura.rw/index.php?id=65,,True,False,electricity https://rura.rw/index.php?id=65
44,renewable energy,https://rura.rw/index.php?id=67,,True,False,renewable energy https://rura.rw/index.php?id=67
45,downstream petroleum,https://rura.rw/index.php?id=66,,True,False,downstream petroleum https://rura.rw/index.php?id=66
46,gas,https://rura.rw/index.php?id=64,,True,False,gas https://rura.rw/index.php?id=64
47,regulatory instruments,https://rura.rw/index.php?id=174,,True,False,regulatory instruments https://rura.rw/index.php?id=174
48,laws and orders,https://rura.rw/index.php?id=68,,True,False,laws and orders https://rura.rw/index.php?id=68
49,regulations and guidelines,https://rura.rw/index.php?id=98,,True,False,regulations and guidelines https://rura.rw/index.php?id=98
50,board decisions,https://rura.rw/index.php?id=70,,True,False,board decisions https://rura.rw/index.php?id=70
51,draft regulations and guidelines,https://rura.rw/index.php?id=235,,True,False,draft regulations and guidelines https://rura.rw/index.php?id=235
52,sector reports,https://rura.rw/index.php?id=176,,True,False,sector reports https://rura.rw/index.php?id=176
53,statistics,https://rura.rw/index.php?id=71,,True,False,statistics https://rura.rw/index.php?id=71
54,faqs,https://rura.rw/index.php?id=223,,True,False,faqs https://rura.rw/index.php?id=223
55,water   sanitation,https://rura.rw/index.php?id=62,,True,False,water   sanitation https://rura.rw/index.php?id=62
56,overview,https://rura.rw/index.php?id=153,,True,False,overview https://rura.rw/index.php?id=153
57,sub sectors and services,https://rura.rw/index.php?id=165,,True,False,sub sectors and services https://rura.rw/index.php?id=165
58,water,https://rura.rw/index.php?id=74,,True,False,water https://rura.rw/index.php?id=74
59,sanitation,https://rura.rw/index.php?id=75,,True,False,sanitation https://rura.rw/index.php?id=75
60,regulatory instruments,https://rura.rw/index.php?id=169,,True,False,regulatory instruments https://rura.rw/index.php?id=169
61,laws and orders,https://rura.rw/index.php?id=76,,True,False,laws and orders https://rura.rw/index.php?id=76
62,regulations and guidelines,https://rura.rw/index.php?id=167,,True,False,regulations and guidelines https://rura.rw/index.php?id=167
63,board decisions,https://rura.rw/index.php?id=77,,True,False,board decisions https://rura.rw/index.php?id=77
64,draft regulations and guidelines,https://rura.rw/index.php?id=231,,True,False,draft regulations and guidelines https://rura.rw/index.php?id=231
